approx_strain_rel,approx_stress_MPa
0.0,0.0
0.0,0.0
0.0,0.004
0.0,0.004
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.004
0.0,0.004
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
8e-05,0.004
8e-05,0.004
8e-05,0.008
0.00032,0.008
0.0004,0.012000000000000002
0.0054800000000000005,0.016
0.0054800000000000005,0.016
0.01022,0.008
0.010320000000000001,0.004
0.010320000000000001,0.004
0.010320000000000001,0.008
0.010320000000000001,0.004
0.010320000000000001,0.0
0.010320000000000001,0.0
0.010320000000000001,0.0
0.010320000000000001,0.0
0.010320000000000001,0.004
0.010320000000000001,0.004
0.0104,0.004
0.0104,0.004
0.01048,0.008
0.01048,0.008
0.01056,0.008
0.01056,0.008
0.01064,0.016
0.01252,0.016
0.01268,0.02
0.01874,0.028000000000000004
0.01882,0.032
0.03708,0.044000000000000004
0.03716,0.04800000000000001
0.0446,0.072
0.04468,0.076
0.04926,0.11200000000000002
0.04934,0.11600000000000002
0.053360000000000005,0.168
0.05344,0.168
0.05672,0.24800000000000003
0.056799999999999996,0.252
0.06236,0.37600000000000006
0.062439999999999996,0.38000000000000006
0.0658,0.564
0.06588,0.568
0.0694,0.8440000000000001
0.0694,0.8480000000000001
0.07366,1.268
0.07374,1.272
0.07856,1.8960000000000001
0.07856,1.9080000000000001
0.08388,2.8520000000000003
0.08388,2.8600000000000003
0.09068,4.288
0.09068,4.288
0.10124000000000001,6.428000000000001
0.10124000000000001,6.432000000000001
0.11384,7.852000000000001
0.11384,7.852000000000001
0.11384,7.848000000000001
0.1158,4.908
0.11588,4.064
0.11628,3.1360000000000006
