strain,stress_1,stress_2,youngs_modulus
0.01909,16.344,,
0.33824,55.20000000000001,,
0.61796,226.165,,
0.90708,397.13,,
1.08355,529.239,,
1.34074,871.1690000000001,,
1.50783,1127.6160000000002,,
1.73499,1640.5100000000004,,
1.9002,1982.4400000000005,,
2.08605,2580.8170000000005,,
2.08605,2580.8170000000005,,
2.25126,3132.567,,
2.42773,3730.945,,
2.56103,4204.983,,
2.74688,4888.843,,
2.88205,5362.882,,
3.08856,6217.706,,
3.22373,6683.974000000001,,
3.38894,7367.834000000002,,
3.52223,7927.355000000001,,
3.6987,8743.324,,
3.83387,9256.218,,
4.00847,10025.56,,
4.12299,10491.828,,
4.29758,11222.314,,
4.42336,11735.209000000004,,
4.60922,12543.406,,
4.72186,13017.445000000002,,
4.88707,13662.449000000004,,
5.02224,14214.199,,
5.14614,14773.721,,
5.2907,15410.953,,
5.41461,15923.848000000002,,
5.57981,16568.852000000003,,
5.70372,17081.746000000003,,
5.88019,17718.979,,
6.0041,18193.018,,
6.15992,18705.913000000004,,
6.26317,19350.916000000005,,
6.43776,20034.776,,
6.64427,20586.526000000005,,
6.77006,20205.741000000005,,
6.89396,19304.29,,
6.95591,18581.575,,
7.05917,17462.532,,
